name,year,coal,gas,oil,tradition,nuclear,clean
AL,2006,443.0,327.6,43.7,814.3,333.0,266.2
AL,2007,469.0,309.3,41.6,819.9,360.0,228.2
AL,2008,506.8,290.4,44.6,841.8,407.6,233.4
AL,2009,459.5,268.1,41.7,769.3,415.4,264.5
AL,2010,493.1,257.4,41.5,792.0,396.6,231.0
AL,2011,468.7,226.8,48.6,744.1,411.8,244.2
AL,2012,488.1,230.4,55.2,773.7,428.0,231.6
AL,2013,469.2,211.8,60.3,741.3,426.5,295.9
AL,2014,414.4,196.1,57.0,667.5,431.4,254.9
AL,2015,331.4,183.0,55.4,569.8,438.7,247.7
AK,2006,22.2,496.0,"1,568.8",2087.0,0.0,13.3
AK,2007,20.7,488.1,"1,528.9",2037.7,0.0,14.0
AK,2008,23.0,447.4,"1,449.3",1919.7,0.0,12.9
AK,2009,29.0,442.7,"1,365.8",1837.5,0.0,15.7
AK,2010,33.6,418.5,"1,269.6",1721.7,0.0,16.5
AK,2011,33.5,404.7,"1,188.0",1626.2,0.0,15.7
AK,2012,31.3,398.5,"1,115.7",1545.5,0.0,17.7
AK,2013,24.9,379.9,"1,090.1",1494.9,0.0,18.6
AK,2014,22.9,381.3,"1,050.8",1455.0,0.0,19.8
AK,2015,17.7,380.6,"1,007.6",1405.9,0.0,19.2
AZ,2006,179.4,0.6,250.6,430.6,0.0,80.8
AZ,2007,173.9,0.7,280.9,455.5,3.8,83.2
AZ,2008,174.0,0.5,305.7,480.2,7.5,96.3
AZ,2009,160.7,0.7,320.7,482.1,7.6,80.7
AZ,2010,167.9,0.2,326.1,494.2,7.9,85.0
AZ,2011,174.8,0.2,327.3,502.3,7.7,112.7
AZ,2012,161.4,0.1,334.6,496.1,5.5,98.5
AZ,2013,163.7,0.1,328.4,492.2,0.0,98.8
AZ,2014,173.3,0.1,338.0,511.4,5.9,119.9
AZ,2015,146.5,0.1,340.2,486.8,6.9,127.6
AR,2006,0.5,278.7,34.5,313.7,159.0,100.0
AR,2007,1.9,273.9,35.0,310.8,162.4,120.7
AR,2008,1.5,453.4,35.3,490.2,148.1,123.4
AR,2009,0.1,691.1,33.4,724.6,158.7,124.2
AR,2010,0.7,938.1,33.3,972.1,157.0,118.6
AR,2011,3.0,"1,090.9",34.1,1128.0,148.5,114.7
AR,2012,2.1,"1,164.0",37.9,1204.0,162.4,106.4
AR,2013,1.4,"1,164.4",38.5,1204.3,124.8,109.8
AR,2014,1.9,"1,142.7",39.7,1184.3,151.4,110.0
AR,2015,1.8,"1,031.4",35.2,1068.4,144.7,109.3
CA,2006,0.0,351.1,"1,293.5",1644.6,333.5,821.8
CA,2007,0.0,342.8,"1,267.4",1610.2,375.4,631.8
CA,2008,0.0,331.2,"1,244.3",1575.5,339.5,603.7
CA,2009,0.0,309.8,"1,202.1",1511.9,332.2,646.5
CA,2010,0.0,320.1,"1,162.1",1482.2,336.6,704.9
CA,2011,0.0,279.7,"1,137.8",1417.5,383.6,828.0
CA,2012,0.0,277.7,"1,144.6",1422.3,193.9,698.5
CA,2013,0.0,287.3,"1,155.3",1442.6,187.2,738.3
CA,2014,0.0,271.3,"1,187.3",1458.6,177.7,742.9
CA,2015,0.0,265.2,"1,150.7",1415.9,193.5,743.4
